	001A	001B	002B	003A	004B	006A	006B	008A	008B	009A	009B	010A	010B	012A	012B	013A	013B	014B	015B	016B	017B	018B	019A	020B	27S	30S	31S	4S
K03897	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
K03919	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03924	90	20	21	1387	12	1730	17	3049	984	1444	10	3789	9	687	1611	959	25	3209	242	1257	4578	2576	58	14	3000	4	361	6
K03925	32931	12198	5367	9011	7205	5596	7071	9209	17095	6578	8963	5736	5887	6473	5910	5179	3796	11899	214	11011	25378	7803	8607	8164	7736	7703	8944	9184
K03928	0	0	0	0	0	4	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	1	0	0	0	0	0
K03931	0	0	0	0	0	14	0	1	0	4	0	2	0	1	1	0	0	0	0	2	1	2	0	0	0	0	0	0
K03969	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0
K03972	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03973	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03974	0	0	0	0	1	10	0	0	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
K03975	721	670	588	934	1643	30	362	530	1197	395	286	1059	154	278	663	539	10	980	123	602	2207	884	509	827	1141	987	270	1124
K03977	3816	4452	3468	6569	6587	2738	2104	4290	3475	5191	4477	4085	1962	4195	3460	3442	1780	4741	280	3557	5992	2764	2955	724	1251	2759	2423	4346
K03978	7011	1606	6150	8057	8934	2898	3910	6607	6749	6735	951	2547	435	5115	5112	3623	3194	6229	190	6048	6000	2865	5416	1578	2543	1519	2530	3241
K03979	5561	8725	5610	9634	7355	3221	3851	5993	4131	7699	3525	1960	2968	4854	3719	3937	1339	5580	290	6535	5721	2256	6397	2287	2193	1734	2882	2650
K03980	17	6	8	502	3	387	2	102	167	565	2	282	3	222	353	185	9	133	4	345	986	614	17	3	444	3	216	3
K03981	0	2	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
K04013	0	0	0	0	0	0	0	0	0	0	0	2	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K04014	0	0	18	18	13	0	17	12	1	9	0	0	0	10	8	4	0	19	0	21	47	1	86	0	0	0	0	0
K04016	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
K04017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K04018	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K04019	1	0	0	0	0	17	0	7	0	10	0	49	0	5	20	20	0	48	0	4	107	32	3	0	3	0	0	0
K04020	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
