	001A	001B	002B	003A	004B	006A	006B	008A	008B	009A	009B	010A	010B	012A	012B	013A	013B	014B	015B	016B	017B	018B	019A	020B	27S	30S	31S	4S
K07584	222	29	35	3	42	7	3	8	71	27	108	3	2465	3	19	3	5	6	1101	8	21	17	189	125	61	80	88	83
K07586	4081	5	2	4	126	4	438	6	1763	7	1	4	4	14	4	3	5	3	55	4	20	1	2	35	12	10	12	9
K07589	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07590	1	4	1	1	1	2421	1	1	1	29	4	1	1195	952	3733	1	1	1	3	1	1	4	1	4	1	1	1480	1
K07591	0	0	0	0	0	7	0	2	0	48	0	121	2	59	3	0	0	0	0	0	0	0	0	0	0	0	0	0
K07592	0	0	0	0	0	1	0	0	0	0	0	3	1	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0
K07636	65	40671	135	992	35	1330	17	1461	771	1650	10807	1720	19447	1462	1097	745	1261	2064	217	1069	2964	1580	413	30	944	9337	904	1353
K07637	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K07638	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0
K07639	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
K07640	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0
K07641	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0
K07642	51	1	1	1	1	27	1	1802	595	82	2	12	1	63	92	28	2	366	1	66	148	102	5	3	3	1	51	1
K07643	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
K07644	1	1	2	1	2	308	2	70	3	232	1	963	2	509	107	9	1	37	1	80	1	245	15	1	377	1	4	1
K07645	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K07646	3	1	2	442	2	11	1	2	14	4	1	10	1	16	6	1	3	1	75	1	7	5	27	1	1	2	2	1
K07647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K07648	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
K07651	0	0	0	0	0	4	0	0	0	0	0	5	0	0	5	1	0	1	0	5	17	20	0	0	1	0	1	0
K07652	476	994	3599	2315	2934	285	2367	1896	357	1200	475	268	382	1649	1083	1254	30	1900	140	3079	1059	429	5255	547	429	854	799	1097
K07654	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07657	74	77868	199	1495	39	1298	33	1714	233	1185	19035	1595	38749	1712	1898	819	2289	3207	88	1587	2446	1302	712	91	310	7200	962	1956
K07658	106	130	45	1106	593	77	4	3917	1504	179	8	1229	5	553	1307	239	7	191	5	1534	7467	2285	80	174	949	39	1372	37
K07659	0	0	0	0	0	3	0	0	0	1	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
K07660	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07661	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07662	0	0	0	0	0	5	0	1	1	2	0	2	0	1	0	0	0	8	0	1	2	0	1	0	0	0	0	0
K07663	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
K07664	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07666	1	1	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	0	0
K07668	25	10394	3912	3182	3711	459	1639	1639	69	1653	4791	4469	3947	2944	541	913	22	1824	172	2251	702	215	5913	881	256	1502	929	2958
K07670	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
K07673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07674	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0
K07675	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
K07676	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07679	0	0	0	0	1	2	0	1	0	1	0	0	0	0	1	3	0	0	0	0	2	1	1	0	1	0	0	0
K07682	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07684	1	1	1	1	1	9	1	1	1	1	1	1	1	1	2	1	1	1	1	3	1	1	2	1	1	1	1	1
K07685	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07686	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
K07687	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
K07690	0	0	0	0	0	3	0	0	0	0	0	1	1	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0
K07696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
K07700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0
K07702	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07704	3	1	1	1	3	181	1	15	8	17	4	17	1	39	187	1	10	2	35	1	14	2	4	11	10	1	43	1
K07705	2	3	1	642	3	217	4	769	2	556	11	301	2	231	3	226	905	714	35	1021	1084	584	3	12	294	1	1	1
K07706	5	2537	92	2	2	3	3	8	7	4	2717	11	740	4	2	3	3	2	56	2	5	1	259	2	1	258	130	996
K07707	14	2109	55	2	4	4	3	4	7	4	2303	4	620	5	4	3	5	4	35	4	4	3	311	3	1	247	74	582
K07708	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0
K07709	0	0	2	0	0	2	1	4	1	99	1	0	1	15	24	0	0	3	1	0	30	44	0	0	1	0	7	0
K07710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07711	0	1	1	0	0	0	0	1	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
K07712	1	1	0	1	0	93	0	7	14	6	0	11	0	11	2	2	0	16	1	5	28	2	0	1	2	0	12	0
K07713	0	1	1	0	1	31	0	5	6	5	0	7	0	12	6	11	0	5	2	5	79	4	0	0	6	0	2	0
K07714	0	0	0	0	0	0	0	0	8	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0
K07715	0	0	0	0	0	5	0	0	1	0	1	0	0	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0
K07716	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0
K07718	0	1	0	0	0	14	0	1	1	0	0	0	0	0	0	0	0	3	4	0	2	1	1	0	3	0	0	1
K07720	0	1	0	0	0	1	0	0	0	1	1	1	0	1	1	1	0	1	13	1	1	1	0	0	1	1	1	1
K07723	0	1	0	0	0	0	0	0	0	0	0	1	474	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1
K07727	1	90	36	5	1	1	4	1	1	1	254	1	146	1	1	1	1	1	48	1	1	1	76	1	1	65	17	128
K07729	2	6	215	124	163	13	2	2	2	31	2	499	2	290	3	7	2	3	184	314	422	32	244	2	3	133	191	3
K07735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
K07738	4029	5483	2953	4289	3668	3484	1776	5057	6483	4795	1714	1528	1859	3711	4349	1992	2456	4457	123	4664	4234	1964	3720	355	1265	1903	2463	2337
K07742	4916	10482	3060	5476	5180	1267	2641	3020	3751	3323	7611	260	3851	1699	3155	2128	959	1897	140	3279	1915	571	3549	3295	1140	4113	2128	5485
K07751	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0
K07757	1	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
K07771	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
K07773	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
K07775	1	1	1	1	1	159	1	2	2	15	1	75	4	39	5	6	2	34	1	1	15	1	1	1	4	1	4	1
K07776	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0
K07778	3	1	1	6	1	18	1	113	21	285	0	23	1	35	74	54	0	112	2	41	543	147	1	306	3	3	6	10
K07781	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
K07782	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0
K07783	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07784	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
K07788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07793	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
K07799	0	1	0	1	1	461	2	0	1	10	0	11	0	155	1203	0	1	0	0	2	0	1	10	1	0	0	341	0
K07803	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07806	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07816	5	2	3	1	1	1	1	1	9	1	4	1	4	1	1	1	1	1	2	1	1	1	1	462	7	1	4	9
K07821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
K07862	13	6	4	90	2	20	1	299	94	39	1	107	1	56	145	226	14	266	24	106	590	292	5	2	81	2	19	2
K08068	1	3	0	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0	51	2	1	1	1	0	0	0	0	0
K08092	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
K08093	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K08094	1	664	1	1	2	5	1	13	557	4	148	15	48	4	215	1	1	9	2	114	2	5	16	1	1	128	7	1
K08137	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0
K08139	0	0	0	0	0	9	0	0	1	4	0	20	0	3	2	3	0	7	1	1	1	2	0	0	1	0	3	2
K08152	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	44	0	0	1	0	0	0	0	0	0
K08154	1	0	0	0	0	0	0	1	1	0	0	1	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
K08156	17	127	25	47	201	33	1	66	37	56	1	31	1	18	116	5	2	108	9	43	104	51	7	487	1	41	3	42
K08161	772	891	179	199	467	30	149	243	346	118	200	1903	335	136	22	101	109	197	6	180	190	76	228	570	113	195	146	498
K08163	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0
K08172	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
K08173	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
K08177	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0
K08191	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
K08194	0	0	1	1	0	8	0	1	3	66	0	2	0	0	18	1	1	3	0	0	34	6	1	0	4	0	9	0
K08196	792	3	0	0	271	0	855	0	2732	1	2	1	0	0	3	1	2	1	1	0	1	0	2	56	0	5	0	0
K08218	2	1	4	51	2	280	2	14	14	224	2	377	1	64	116	168	1	294	46	36	390	152	5	2	47	2	111	2
K08219	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
K08223	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	28	1	1	1	1	1
K08224	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
K08277	2	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
K08279	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0
K08281	5	5	2	80	3	17	2	131	9	185	4	1282	3	30	419	292	10	595	178	136	1617	570	33	2	411	2	36	2
K08289	25	4	5	448	2	16	1	346	443	133	2	1255	3	49	534	378	2	872	26	300	2171	823	20	1	736	2	141	1
K08296	27	2	4	149	1	7	1	196	355	28	1	96	1	23	143	33	2	245	12	142	380	227	12	1	258	1	30	1
K08297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
K08298	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0
K08299	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K08300	129	35	30	1201	13	2465	13	1058	1514	1685	6	4792	41	808	2224	1719	9	3561	302	1182	7929	4597	68	10	2813	3	501	2
K08301	5	9	6	612	3	646	4	943	10	548	4	206	5	1692	646	205	1247	699	11	964	1278	653	116	3	158	1	238	1
K08303	0	0	0	0	0	2	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K08304	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
K08305	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
K08306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
K08307	2	4	1	1	2	390	1	12	21	152	1	57	1	103	72	14	3	144	2	18	116	29	2	1	5	1	19	1
K08308	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K08309	9	13	5	572	4	511	7	1077	19	488	5	265	3	299	553	460	2694	596	9	943	2379	785	93	2	167	2	121	2
K08311	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
K08312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
K08314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
K08315	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	2	0	1	2	1	2	0	1	1	1	1
K08316	2077	3273	2762	5098	4028	2053	1685	4552	1804	3540	2075	979	1078	3004	3765	2045	5857	3117	91	4449	4490	2402	2443	557	844	917	1945	1054
K08317	1	0	0	0	0	30	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	37	0	15	11	11	9
K08319	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
K08322	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	3	0	1	0	0	0	0	0
K08323	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
K08325	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
K08348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K08349	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
K08350	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K08351	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K08354	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K08365	0	0	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K08369	5	8	5	424	3	165	7	875	3	390	6	158	5	1684	2148	284	1686	706	6	682	596	378	6	5	116	1	42	1
K08384	0	0	0	0	0	8	0	1	6	19	0	16	0	49	1	0	0	0	0	1	1	7	0	1	0	0	1	0
K08483	36489	45580	24980	20058	27701	3561	15262	17764	17203	16913	17982	1615	16970	16509	7736	11279	145	12745	1276	20393	8636	2636	32852	12535	6799	37178	15168	41105
K08591	1030	1460	397	448	1104	74	431	168	870	275	1264	46	628	227	118	115	24	186	41	231	92	32	573	1600	192	927	363	989
K08600	6	2	1	1	1	68	1	15	2	77	1	711	1	334	4	1	26	7	1	3	5	10	4	1	17	1	9	1
K08641	0	1	0	0	0	110	0	17	7	50	0	41	2	39	17	3	1	50	0	1	24	4	0	0	1	1	34	1
K08656	0	0	0	0	0	8	0	1	2	57	0	2	0	8	20	0	0	3	0	0	60	7	0	0	0	0	11	0
K08659	0	15	1	0	1	0	0	0	1	0	8	0	2	1	0	1	0	0	0	0	0	0	4	8	0	40	2	26
K08678	1	1	0	0	0	0	1	66	1	68	0	552	0	3	104	155	0	282	0	66	594	305	0	0	161	0	29	0
K08679	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0
K08680	1	1	1	1	1	32	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	2	122	2	1	1	1	1
K08681	112	26	24	275	10	1767	18	1016	1113	4908	13	5020	17	1892	1547	1111	11	2034	59	805	6045	2388	49	7	2491	7	2231	5
K08682	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K08693	1	1	2	130	3	262	1	3	26	35	2	92	1	146	12	21	2	63	248	1	47	8	28	1	1	2	47	1
K08696	0	2	0	0	0	832	0	0	0	3	0	25	2	97	578	0	0	2	0	0	3	0	0	0	0	0	70	0
K08697	0	0	0	0	0	561	0	0	3	0	0	14	0	75	498	3	0	0	0	0	0	7	0	0	0	0	193	0
K08722	5	7	3	230	3	346	4	563	11	268	3	130	2	319	670	208	617	585	3	782	1034	399	28	3	171	2	429	2
K08723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
K08724	1679	1328	151	72	777	5	232	8	1184	1	1107	3	463	2	3	4	2	2	3	4	3	2	149	1263	3	589	212	1002
K08884	194	5997	3195	5147	3864	894	2049	3436	2112	2396	2986	2942	2165	3293	3839	2526	1387	2813	188	4303	5312	2727	3596	1303	1857	3185	2048	4238
K08978	0	0	2	0	0	0	0	0	0	10	0	4	0	0	0	2	0	0	0	2	27	6	2	0	0	0	0	0
K08987	5	1	3	3	1	1	1	1	1	1	5	1	1	1	1	1	1	1	11	1	1	1	3	1	1	1	1	1
K08990	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
K08997	1	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K09001	1	2	0	0	0	1	0	0	0	1	1	0	0	0	1	0	6	0	1	0	1	0	0	0	1	0	0	0
K09013	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
K09014	877	14584	3308	5569	4226	1224	2784	6630	1506	4708	2809	1622	4978	4509	5732	2292	3038	3792	199	6279	4341	5202	2931	5921	829	6937	2318	8489
K09015	0	1	0	0	0	1	0	0	2	0	0	1	0	0	4	1	0	0	0	1	0	0	2	0	0	0	0	0
K09016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0
K09017	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
K09018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0
K09020	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
K09022	1	1	1	2	1	1	1	3	1	1	2	1	1	1	3	1	4	1	2	1	1	1	3	1	1	1	1	1
K09023	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
K09117	6894	17018	8302	14836	10574	8546	3420	24095	4942	17984	8301	5042	7457	14830	12897	8984	36001	21739	143	25688	30586	16851	9007	3780	7876	6669	6466	9151
K09125	6	10	3	18	4	311	4	101	16	358	2	2499	5	109	468	1596	3	436	99	53	1699	1151	10	5	1808	4	264	2
K09136	3	3	0	0	1	1	3	12	2	69	2	1599	3	3	1376	1015	1	1158	2	562	5432	2	3	1	3973	4	520	2
K09160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
K09162	1	1	1	1	1	1	1	1	3	1	1	1	2	1	1	1	1	1	1	1	1	1	199	1	1	1	1	1
K09181	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
K09251	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
K09457	7	12	10	355	12	464	11	653	15	521	6	932	7	229	1327	475	1235	713	80	685	1446	749	45	8	1074	4	402	4
K09458	30	55	54	1283	29	8335	35	3834	141	6014	19	11923	30	2375	5923	7066	3011	12383	450	2974	20324	10409	458	22	16698	14	3191	15
K09475	1	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	1	0	2	1	0	0	0	0	1	0	0
K09516	0	0	1	1	2	176	2	129	1	515	1	445	1	7	318	917	1	1763	1	182	1912	1344	2	1	1071	0	94	2
K09607	0	0	0	1	0	25	0	5	6	153	0	4	0	29	39	8	0	6	0	0	75	37	0	0	3	0	5	0
K09667	0	0	0	0	0	5	0	1	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
K09685	1633	10121	3728	4468	4979	19	2094	2613	1723	2659	3384	15	2763	1782	1019	1745	14	2002	118	2451	803	199	4019	455	697	5027	1606	6164
K09691	0	0	0	0	0	80	0	11	1	165	0	1800	2	485	0	1	1	1	1	1	2	0	1	1	0	0	0	0
K09693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
K09698	4	1	1	6	2	2	2	1	1	14	0	3	24	5	1	7	1	3	170	1	6	3	7	1	1	1	1	1
K09699	0	0	0	1	0	0	0	1	2	0	1	1	2464	0	1	1	0	1	1	0	1	1	0	0	1	1	1	1
K09710	5050	5187	3336	7294	3952	1987	2262	5829	2804	3936	3258	4617	2412	3381	2605	3209	55	3828	371	4903	7857	3487	5635	1822	2627	2603	2095	3546
K09747	4600	7763	7673	9873	9722	3055	4220	8279	2621	6484	3625	1224	2887	5585	4905	4306	3592	6586	207	10095	6338	2384	10794	6289	1074	3030	2501	3395
K09748	3605	4840	2529	4734	4232	2853	2001	3362	3231	3506	4866	1989	2508	2468	1555	2208	2648	2935	215	3539	3671	997	2382	2645	781	1449	1611	1752
K09749	0	0	0	0	0	227	1	18	0	285	1	2061	0	961	2	2	0	5	0	1	6	3	0	1	0	0	0	0
K09760	4	7	3	160	1	797	2	215	28	1010	3	1278	4	565	448	534	7	1384	215	189	1964	856	27	3	674	1	294	1
K09761	106	26	30	996	22	1436	14	2023	348	1374	8	984	10	939	1763	567	780	1520	116	1248	2383	1319	168	12	781	10	885	10
K09764	0	0	0	0	0	14	0	0	0	12	0	13	0	51	0	0	0	0	0	0	0	0	0	0	0	0	3	0
K09767	15	5	2	8	2	62	2	16	21	48	1	65	2	40	17	32	28	22	3	18	70	56	202	2	26	2	5	2
K09768	0	3	1	2	1	15	1	3	15	46	0	29	1	70	4	1	1	3	0	1	9	13	2	1	1	1	8	1
K09769	3	2	1	1	1	685	1	18	2	779	1	74	1	396	50	94	1	74	1	36	132	17	2	1	1	1	165	1
K09770	0	0	0	0	0	490	2	58	0	486	0	4919	0	3246	2	2	0	2	2	0	2	0	2	0	0	0	0	0
K09772	16613	14238	22372	24153	29878	1913	14035	17171	8474	6651	8178	2956	4412	9553	10068	7314	173	9136	699	18112	5137	1428	18404	5268	2592	5354	5708	7456
K09774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
K09777	8	9	6	1076	6	982	3	2561	68	1410	6	657	9	1444	1265	706	2953	2384	23	1852	2873	1764	111	3	401	4	188	4
K09778	3	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	8	0	2	0	0	1	0	0	0	0	0
K09780	0	0	2	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K09786	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
K09787	3208	4273	2929	4583	3228	6852	3032	6682	3184	3570	2240	3280	1348	4224	5261	2941	6829	4116	87	6499	7249	3633	3987	705	1874	703	1121	695
K09788	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
K09789	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K09790	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	53	3	1	1	4	1	1	1	1	1
K09798	0	0	0	0	0	0	1	0	1	1	0	2	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0
K09800	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
K09802	1	1	1	1	1	63	1	1	1	1	1	1	1	1	4	1	1	3	1	1	4	3	3	3	1	1	1	1
K09807	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
